session_id,timestamp,focus_score,symmetry_score,au1_inner_brow_raise,au2_outer_brow_raise,au4_frown,au6_cheek_raise,au7_eye_squeeze,au9_nose_wrinkle,au10_upper_lip_raise,au12_smile,au14_dimpler,au15_mouth_down,au20_lip_stretcher,au23_lip_compression,au25_mouth_open,au26_jaw_drop,head_yaw,head_pitch,blink_rate_per_min,eye_closed_sec,psychological_signals,micro_expressions,emotion_vector,dominant_emotion,confidence,tension_level
20260120_174956,1768902597.4191344,0.3,0.948,0.128,0.111,0.0,0.479,0.575,0.481,0.0,0.0,0.579,0.0,0.0,0.0,0.0,0.0,0.298,-1.0,0.0,0.0,"{'tension_score': 0.0, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.0, 'eye_closure': 0.0, 'expression_instability': 0, 'emotional_influence': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0, 'neutral': 1.0}",neutral,1.0,low
20260120_174956,1768902597.4915836,0.3,0.995,0.224,0.249,0.0,0.488,0.556,0.492,0.064,0.0,0.523,0.003,0.0,0.024,0.002,0.0,0.304,-0.999,0.0,0.0,"{'tension_score': 0.006, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.024, 'eye_closure': 0.0, 'expression_instability': 0.0, 'emotional_influence': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0, 'neutral': 1.0}",neutral,1.0,low
20260120_174956,1768902597.5139525,0.3,0.991,0.228,0.266,0.002,0.473,0.534,0.492,0.015,0.061,0.425,0.008,0.061,0.0,0.0,0.119,0.28,-1.0,0.0,0.0,"{'tension_score': 0.005, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.002, 'lip_compression': 0.0, 'eye_closure': 0.0, 'expression_instability': 0.029, 'emotional_influence': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0, 'neutral': 1.0}",neutral,1.0,low
20260120_174956,1768902597.538799,0.3,0.991,0.217,0.264,0.0,0.464,0.54,0.496,0.005,0.073,0.48,0.003,0.073,0.0,0.095,0.217,0.285,-0.999,0.0,0.0,"{'tension_score': 0.005, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.0, 'eye_closure': 0.0, 'expression_instability': 0.034, 'emotional_influence': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0, 'neutral': 1.0}",neutral,1.0,low
20260120_174956,1768902597.5717514,0.3,0.988,0.202,0.251,0.0,0.478,0.527,0.496,0.007,0.056,0.482,0.002,0.056,0.117,0.052,0.208,0.291,-1.0,0.0,0.0,"{'tension_score': 0.034, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.117, 'eye_closure': 0.0, 'expression_instability': 0.031, 'emotional_influence': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0, 'neutral': 1.0}",neutral,1.0,low
20260120_174956,1768902597.5945342,0.3,0.988,0.206,0.252,0.0,0.473,0.542,0.495,0.0,0.092,0.501,0.001,0.092,0.0,0.017,0.384,0.288,-1.0,0.0,0.0,"{'tension_score': 0.005, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.0, 'eye_closure': 0.0, 'expression_instability': 0.035, 'emotional_influence': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 1.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",surprise,1.0,low
20260120_174956,1768902597.6184897,0.3,0.989,0.206,0.254,0.005,0.47,0.54,0.495,0.0,0.018,0.475,0.011,0.018,0.355,0.0,0.095,0.29,-0.999,0.0,0.0,"{'tension_score': 0.395, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.005, 'lip_compression': 0.355, 'eye_closure': 0.0, 'expression_instability': 0.034, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",anxiety,1.0,medium
20260120_174956,1768902597.6513357,0.3,0.989,0.199,0.242,0.003,0.483,0.539,0.496,0.0,0.047,0.466,0.007,0.047,0.067,0.041,0.306,0.294,-1.0,0.0,0.0,"{'tension_score': 0.023, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.003, 'lip_compression': 0.067, 'eye_closure': 0.0, 'expression_instability': 0.032, 'emotional_influence': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 1.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",surprise,1.0,low
20260120_174956,1768902597.6716619,0.3,0.987,0.201,0.245,0.012,0.483,0.535,0.495,0.0,0.04,0.462,0.008,0.04,0.303,0.052,0.221,0.295,-0.999,0.0,0.0,"{'tension_score': 0.384, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.012, 'lip_compression': 0.303, 'eye_closure': 0.0, 'expression_instability': 0.03, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",anxiety,1.0,medium
20260120_174956,1768902597.6919284,0.3,0.987,0.199,0.243,0.0,0.484,0.543,0.495,0.0,0.038,0.454,0.007,0.038,0.22,0.045,0.21,0.294,-1.0,0.0,0.0,"{'tension_score': 0.359, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.22, 'eye_closure': 0.0, 'expression_instability': 0.028, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",anxiety,1.0,medium
