session_id,timestamp,focus_score,symmetry_score,au1_inner_brow_raise,au2_outer_brow_raise,au4_frown,au6_cheek_raise,au7_eye_squeeze,au9_nose_wrinkle,au10_upper_lip_raise,au12_smile,au14_dimpler,au15_mouth_down,au20_lip_stretcher,au23_lip_compression,au25_mouth_open,au26_jaw_drop,head_yaw,head_pitch,blink_rate_per_min,eye_closed_sec,psychological_signals,micro_expressions,emotion_vector,dominant_emotion,confidence,tension_level,left_iris_x,left_iris_y,right_iris_x,right_iris_y,gaze_direction_x,gaze_direction_y,gaze_deviation
20260127_172224,1769505745.5229158,0.3,0.989,0.261,0.323,0.063,0.452,0.567,0.497,0.0,0.0,0.514,0.0,0.0,0.0,0.0,0.0,0.317,-0.998,0.0,0.0,"{'tension_score': 0.019, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.063, 'lip_compression': 0.0, 'eye_closure': 0.0, 'expression_instability': 0, 'emotional_influence': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0, 'neutral': 1.0}",neutral,1.0,low,0.427,0.517,0.523,0.518,-0.064,-0.626,0.63
20260127_172224,1769505745.637473,0.3,0.989,0.261,0.303,0.103,0.415,0.541,0.497,0.0,0.072,0.563,0.007,0.072,0.955,0.019,0.426,0.325,-0.998,0.0,0.0,"{'tension_score': 0.501, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.103, 'lip_compression': 0.955, 'eye_closure': 0.0, 'expression_instability': 0.036, 'emotional_influence': 0.226}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.248, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.752, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",anxiety,0.752,medium,0.426,0.515,0.522,0.52,-0.07,-0.643,0.647
20260127_172224,1769505745.659191,0.3,0.989,0.244,0.279,0.083,0.411,0.574,0.496,0.0,0.046,0.662,0.006,0.046,0.898,0.004,0.593,0.309,-0.999,0.0,0.0,"{'tension_score': 0.426, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.083, 'lip_compression': 0.898, 'eye_closure': 0.0, 'expression_instability': 0.03, 'emotional_influence': 0.172}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.213, 'surprise': 0.213, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.574, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",anxiety,0.574,medium,0.426,0.514,0.522,0.519,-0.066,-0.656,0.66
20260127_172224,1769505745.6860788,0.3,0.99,0.251,0.295,0.1,0.413,0.567,0.493,0.0,0.035,0.675,0.002,0.035,0.872,0.0,0.585,0.298,-0.998,0.0,0.0,"{'tension_score': 0.423, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.1, 'lip_compression': 0.872, 'eye_closure': 0.0, 'expression_instability': 0.026, 'emotional_influence': 0.171}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.215, 'surprise': 0.215, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.57, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",anxiety,0.57,medium,0.425,0.513,0.521,0.518,-0.053,-0.667,0.669
20260127_172224,1769505745.706594,0.3,0.99,0.247,0.287,0.091,0.424,0.564,0.495,0.0,0.018,0.703,0.001,0.018,0.798,0.012,0.511,0.301,-0.998,0.0,0.0,"{'tension_score': 0.4, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.091, 'lip_compression': 0.798, 'eye_closure': 0.0, 'expression_instability': 0.025, 'emotional_influence': 0.169}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.218, 'surprise': 0.218, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.563, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",anxiety,0.563,medium,0.424,0.512,0.52,0.519,-0.051,-0.643,0.645
20260127_172224,1769505745.7302377,0.3,0.99,0.243,0.28,0.09,0.426,0.561,0.495,0.0,0.018,0.692,0.0,0.018,0.765,0.016,0.469,0.3,-0.999,0.0,0.0,"{'tension_score': 0.438, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.09, 'lip_compression': 0.765, 'eye_closure': 0.0, 'expression_instability': 0.023, 'emotional_influence': 0.216}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.28, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.72, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",anxiety,0.72,medium,0.423,0.513,0.518,0.518,-0.05,-0.643,0.645
20260127_172224,1769505745.7686605,0.3,0.99,0.248,0.285,0.083,0.424,0.553,0.495,0.0,0.016,0.713,0.0,0.016,0.706,0.019,0.392,0.298,-0.999,0.0,0.0,"{'tension_score': 0.418, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.083, 'lip_compression': 0.706, 'eye_closure': 0.0, 'expression_instability': 0.022, 'emotional_influence': 0.213}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.289, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.711, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",anxiety,0.711,medium,0.422,0.513,0.517,0.517,-0.044,-0.645,0.646
20260127_172224,1769505745.7879112,0.3,0.99,0.246,0.282,0.082,0.424,0.558,0.495,0.0,0.024,0.688,0.0,0.024,0.638,0.022,0.334,0.297,-0.999,0.0,0.0,"{'tension_score': 0.396, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.082, 'lip_compression': 0.638, 'eye_closure': 0.0, 'expression_instability': 0.021, 'emotional_influence': 0.209}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.304, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.696, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",anxiety,0.696,medium,0.42,0.512,0.515,0.517,-0.042,-0.644,0.645
20260127_172224,1769505745.8062553,0.3,0.991,0.248,0.281,0.077,0.422,0.562,0.495,0.0,0.028,0.677,0.0,0.028,0.636,0.005,0.287,0.297,-0.999,0.0,0.0,"{'tension_score': 0.485, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.077, 'lip_compression': 0.636, 'eye_closure': 0.0, 'expression_instability': 0.02, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",anxiety,1.0,medium,0.419,0.512,0.515,0.516,-0.04,-0.644,0.646
20260127_172224,1769505745.834385,0.3,0.991,0.249,0.277,0.074,0.426,0.571,0.495,0.0,0.008,0.72,0.0,0.008,0.731,0.012,0.335,0.296,-0.999,0.0,0.0,"{'tension_score': 0.428, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.074, 'lip_compression': 0.731, 'eye_closure': 0.0, 'expression_instability': 0.02, 'emotional_influence': 0.22}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.265, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.735, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",anxiety,0.735,medium,0.419,0.512,0.515,0.515,-0.039,-0.638,0.639
