session_id,timestamp,focus_score,symmetry_score,au4_frown,au12_smile,au6_cheek_raise,au7_eye_squeeze,au9_nose_wrinkle,au15_mouth_down,au23_lip_compression,au25_mouth_open,blink_rate_per_min,eye_closed_sec,psychological_signals,micro_expressions,emotion_vector,dominant_emotion,confidence,tension_level
20260120_160710,1768896431.5451975,0.3,0.997,0.005,0.659,0.42,0.825,0.448,-0.006,0.972,0.215,1800.0,0.033,"{'tension_score': 0.548, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.005, 'lip_compression': 0.972, 'eye_closure': 0.017, 'expression_instability': 0, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_160710,1768896431.5945752,0.3,0.994,0.028,0.604,0.47,0.797,0.398,-0.005,0.988,0.204,900.0,0.0,"{'tension_score': 0.559, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.028, 'lip_compression': 0.988, 'eye_closure': 0.0, 'expression_instability': 0.028, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_160710,1768896431.6263862,0.3,0.989,0.044,0.591,0.525,0.728,0.379,0.001,0.964,0.316,400.0,0.0,"{'tension_score': 0.559, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.044, 'lip_compression': 0.964, 'eye_closure': 0.0, 'expression_instability': 0.03, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_160710,1768896431.6443055,0.3,0.974,0.053,0.484,0.629,0.699,0.401,0.003,0.948,0.291,225.0,0.0,"{'tension_score': 0.562, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.053, 'lip_compression': 0.948, 'eye_closure': 0.0, 'expression_instability': 0.064, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_160710,1768896431.6640396,0.3,0.977,0.041,0.503,0.632,0.558,0.392,0.004,0.957,0.262,144.0,0.0,"{'tension_score': 0.561, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.041, 'lip_compression': 0.957, 'eye_closure': 0.0, 'expression_instability': 0.066, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_160710,1768896431.695527,0.3,0.988,0.01,0.524,0.57,0.515,0.405,-0.002,0.984,0.238,100.0,0.0,"{'tension_score': 0.558, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.01, 'lip_compression': 0.984, 'eye_closure': 0.0, 'expression_instability': 0.062, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_160710,1768896431.7341537,0.3,0.995,0.0,0.552,0.568,0.535,0.463,0.001,0.973,0.23,73.469,0.0,"{'tension_score': 0.552, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.973, 'eye_closure': 0.0, 'expression_instability': 0.058, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_160710,1768896431.7587607,0.3,0.995,0.0,0.548,0.593,0.506,0.47,-0.001,0.977,0.214,56.25,0.0,"{'tension_score': 0.552, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.977, 'eye_closure': 0.0, 'expression_instability': 0.054, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_160710,1768896431.7994606,0.3,0.998,0.0,0.572,0.574,0.532,0.47,-0.001,0.977,0.222,44.444,0.0,"{'tension_score': 0.552, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.977, 'eye_closure': 0.0, 'expression_instability': 0.051, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_160710,1768896431.8339076,0.3,0.998,0.0,0.555,0.577,0.521,0.472,-0.001,0.976,0.196,36.0,0.0,"{'tension_score': 0.551, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.976, 'eye_closure': 0.0, 'expression_instability': 0.048, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
