session_id,timestamp,focus_score,symmetry_score,au4_frown,au12_smile,au6_cheek_raise,au7_eye_squeeze,au9_nose_wrinkle,au15_mouth_down,au23_lip_compression,au25_mouth_open,blink_rate_per_min,eye_closed_sec,psychological_signals,micro_expressions,emotion_vector,dominant_emotion,confidence,tension_level
20260120_155056,1768895457.631827,0.8,0.997,0.382,1.0,0.412,-0.318,0.768,-0.0,0.666,0.244,0.0,0.0,"{'tension_score': 0.297, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.382, 'lip_compression': 0.666, 'eye_closure': 0.0, 'expression_instability': 0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,low
20260120_155056,1768895457.6786382,0.8,0.999,0.382,1.0,0.432,-0.332,0.78,0.001,0.692,0.239,0.0,0.0,"{'tension_score': 0.301, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.382, 'lip_compression': 0.692, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_155056,1768895457.6947775,0.8,0.996,0.39,1.0,0.393,-0.288,0.785,0.002,0.708,0.239,0.0,0.0,"{'tension_score': 0.312, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.39, 'lip_compression': 0.708, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_155056,1768895457.7161317,0.8,0.997,0.398,1.0,0.355,-0.308,0.792,0.005,0.688,0.256,0.0,0.0,"{'tension_score': 0.308, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.398, 'lip_compression': 0.688, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_155056,1768895457.7344275,0.8,0.996,0.392,1.0,0.385,-0.324,0.788,0.003,0.706,0.244,0.0,0.0,"{'tension_score': 0.31, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.392, 'lip_compression': 0.706, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_155056,1768895457.7681525,0.8,0.997,0.395,1.0,0.368,-0.312,0.793,0.001,0.739,0.218,0.0,0.0,"{'tension_score': 0.318, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.395, 'lip_compression': 0.739, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_155056,1768895457.7928061,0.8,0.997,0.396,1.0,0.374,-0.32,0.791,0.001,0.705,0.243,0.0,0.0,"{'tension_score': 0.312, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.396, 'lip_compression': 0.705, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_155056,1768895457.8329074,0.8,0.997,0.398,1.0,0.375,-0.321,0.791,0.002,0.719,0.234,0.0,0.0,"{'tension_score': 0.313, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.398, 'lip_compression': 0.719, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_155056,1768895457.8672566,0.8,0.996,0.398,1.0,0.392,-0.319,0.789,0.001,0.716,0.233,0.0,0.0,"{'tension_score': 0.312, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.398, 'lip_compression': 0.716, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_155056,1768895457.8924243,0.8,0.996,0.393,1.0,0.36,-0.326,0.791,0.005,0.674,0.265,0.0,0.0,"{'tension_score': 0.301, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.393, 'lip_compression': 0.674, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_155056,1768895457.9268532,0.8,0.996,0.397,1.0,0.389,-0.33,0.789,0.001,0.728,0.225,0.0,0.0,"{'tension_score': 0.315, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.397, 'lip_compression': 0.728, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_155056,1768895457.955598,0.8,0.997,0.399,1.0,0.369,-0.334,0.79,0.003,0.707,0.24,0.0,0.0,"{'tension_score': 0.312, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.399, 'lip_compression': 0.707, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_155056,1768895457.9850154,0.8,0.997,0.396,1.0,0.369,-0.32,0.789,0.002,0.69,0.255,0.0,0.0,"{'tension_score': 0.304, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.396, 'lip_compression': 0.69, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_155056,1768895458.020839,0.8,0.997,0.393,1.0,0.368,-0.323,0.789,0.002,0.702,0.242,0.0,0.0,"{'tension_score': 0.306, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.393, 'lip_compression': 0.702, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_155056,1768895458.039307,0.8,0.996,0.391,1.0,0.356,-0.3,0.79,0.004,0.663,0.274,0.0,0.0,"{'tension_score': 0.296, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.391, 'lip_compression': 0.663, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,low
